id,code,parent_id/id,name,user_type_id/id,chart_template_id/id,reconcile
petrogas_coa_0,0,,Chart Of Account,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
coa_balance_sheet,Class 1 to 3,petrogas_coa_0,Balance Sheet,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_1,1,coa_balance_sheet,Assets,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_11,11,petrogas_coa_1,"Property, plant and equipment",account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_111,111,petrogas_coa_11,Land,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_112,112,petrogas_coa_11,Buildings and structures,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_113,113,petrogas_coa_11,Machinery,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_114,114,petrogas_coa_11,Vehicles,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_115,115,petrogas_coa_11,Office Equipment,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_116,116,petrogas_coa_11,Furniture and fixtures,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_117,117,petrogas_coa_11,"Other property, plant and equipment",account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_118,118,petrogas_coa_11,Acquisition in progress,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_1198,1198,petrogas_coa_11,Accumulated fair value adjustments,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_1199,1199,petrogas_coa_11,Accumulated depreciation,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_12,12,petrogas_coa_1,Investment property,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_121,121,petrogas_coa_12,Investment Property Completed,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_122,122,petrogas_coa_12,Investment Property Under Construction Or Development,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_1298,1298,petrogas_coa_12,Accumulated fair value adjustments,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_1299,1299,petrogas_coa_12,Accumulated depreciation,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_13,13,petrogas_coa_1,Intangible assets Including Goodwill,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_131,131,petrogas_coa_13,Intangible assets other than goodwill,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_1380,1380,petrogas_coa_13,Acquisition in progress,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
