name,default_code,sale_ok,purchase_ok,can_be_expensed,type,categ_id/id,apply_price_structure,uom_id/id,uom_po_id/id,is_uom_inter_category,inter_uom_factor,taxes_id,supplier_taxes_id,property_account_income_id/id,property_account_expense_id/id,property_stock_account_input/id,property_stock_account_output/id,property_stock_account_valuation/id,property_stock_account_transit/id,property_stock_account_loss/id
GASOIL,AGO,True,True,False,product,product_category_ago,True,uom.product_uom_litre,uom.product_uom_ton,True,1162.79069767442,,,l10n_petrogas.coa_oil_product_income_gasoil,l10n_petrogas.coa_oil_product_expense_ago,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_ago,l10n_petrogas.coa_oil_product_stock_ago,l10n_petrogas.coa_oil_product_transit_ago,l10n_petrogas.coa_oil_product_loss_ago
SUPER,PMS,True,True,False,product,product_category_pms,True,uom.product_uom_litre,uom.product_uom_ton,True,1315.78947368421,,,l10n_petrogas.coa_oil_product_income_super,l10n_petrogas.coa_oil_product_expense_pms,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_pms,l10n_petrogas.coa_oil_product_stock_pms,l10n_petrogas.coa_oil_product_transit_pms,l10n_petrogas.coa_oil_product_loss_pms
PREMIX,PREMIX,True,True,False,product,product_category_premix,True,uom.product_uom_litre,uom.product_uom_ton,True,1315.78947368421,,,l10n_petrogas.coa_oil_product_income_premix,l10n_petrogas.coa_oil_product_expense_premix,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_premix,l10n_petrogas.coa_oil_product_stock_premix,l10n_petrogas.coa_oil_product_transit_premix,l10n_petrogas.coa_oil_product_loss_premix
FIOUL,FIOUL,True,True,False,product,product_category_fioul,True,uom.product_uom_litre,uom.product_uom_ton,True,1200,,,l10n_petrogas.coa_oil_product_income_fioul,l10n_petrogas.coa_oil_product_expense_fioul,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_fioul,l10n_petrogas.coa_oil_product_stock_fioul,l10n_petrogas.coa_oil_product_transit_fioul,l10n_petrogas.coa_oil_product_loss_fioul
KEROZINE,KERO,True,True,False,product,product_category_kero,True,uom.product_uom_litre,uom.product_uom_ton,True,1204.81927710843,,,l10n_petrogas.coa_oil_product_income_kerozine,l10n_petrogas.coa_oil_product_expense_kero,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_kero,l10n_petrogas.coa_oil_product_stock_kero,l10n_petrogas.coa_oil_product_transit_kero,l10n_petrogas.coa_oil_product_loss_kero
AVGAS,AVGAS,True,True,False,product,product_category_avgas,True,uom.product_uom_litre,uom.product_uom_ton,True,1200,,,l10n_petrogas.coa_oil_product_income_avgas,l10n_petrogas.coa_oil_product_expense_avgas,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_avgas,l10n_petrogas.coa_oil_product_stock_avgas,l10n_petrogas.coa_oil_product_transit_avgas,l10n_petrogas.coa_oil_product_loss_avgas
Liquid Propane Gas (LPG) Bulk,LPGBULK,True,True,False,product,product_category_lpg,True,uom.product_uom_kgm,uom.product_uom_ton,False,1,,,l10n_petrogas.coa_oil_product_income_lpg_bulk,l10n_petrogas.coa_oil_product_expense_lpg_bulk,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_lpg_bulk,l10n_petrogas.coa_oil_product_stock_lpg_bulk,l10n_petrogas.coa_oil_product_transit_lpg_bulk,l10n_petrogas.coa_oil_product_loss_lpg_bulk
Liquid Propane Gas (LPG) 6 Kg,LPG6KG,True,True,False,product,product_category_lpg,False,uom_6_kg_bottle,uom_6_kg_bottle,False,1,,,l10n_petrogas.coa_oil_product_income_lpg_6_kg,l10n_petrogas.coa_oil_product_expense_lpg_6kg,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_lpg_6kg,l10n_petrogas.coa_oil_product_stock_lpg_6kg,l10n_petrogas.coa_oil_product_transit_lpg_6kg,l10n_petrogas.coa_oil_product_loss_lpg_6kg
Liquid Propane Gas (LPG) 12.5 Kg,LPG12KG,True,True,False,product,product_category_lpg,False,uom_12_kg_bottle,uom_12_kg_bottle,False,1,,,l10n_petrogas.coa_oil_product_income_lpg_12_kg,l10n_petrogas.coa_oil_product_expense_lpg_12kg,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_lpg_12kg,l10n_petrogas.coa_oil_product_stock_lpg_12kg,l10n_petrogas.coa_oil_product_transit_lpg_12kg,l10n_petrogas.coa_oil_product_loss_lpg_12kg
Liquid Propane Gas (LPG) 25 Kg,LPG25KG,True,True,False,product,product_category_lpg,False,uom_25_kg_bottle,uom_25_kg_bottle,False,1,,,l10n_petrogas.coa_oil_product_income_lpg_25_kg,l10n_petrogas.coa_oil_product_expense_lpg_25kg,l10n_petrogas.coa_oil_product_purchase_not_billed,l10n_petrogas.coa_oil_product_expense_lpg_25kg,l10n_petrogas.coa_oil_product_stock_lpg_25kg,l10n_petrogas.coa_oil_product_transit_lpg_25kg,l10n_petrogas.coa_oil_product_loss_lpg_25kg
